ISO,Country,CarbonIntensity
PSE,Palestine,475.00000000000006
PYF,French Polynesia,475.00000000000006
QAT,Qatar,634.8910090940525
REU,Reunion,475.00000000000006
ROU,Romania,208.00000000000003
RUS,Russia,410.6682533426322
RWA,Rwanda,312.47534178336196
SAU,Saudi Arabia,634.7358255049991
SDN,Sudan,265.34858942312866
SEN,Senegal,575.3348384793053
SGP,Singapore,630.9831634291219
SGS,South Georgia and the South Sandwich Islands,475.00000000000006
SHN,Saint Helena,475.00000000000006
SJM,Svalbard and Jan Mayen,475.00000000000006
SLB,Solomon Islands,618.4844744642597
SLE,Sierra Leone,216.828125
SLV,El Salvador,250.3251076794091
SMR,San Marino,475.00000000000006
SOM,Somalia,605.5276497695853
SPM,Saint Pierre and Miquelon,475.00000000000006
SRB,Serbia,448.4399162141827
SSD,South Sudan,475.00000000000006
STP,Sao Tome and Principe,586.0
SUR,Suriname,311.63837336534476
SVK,Slovakia,90.0
SVN,Slovenia,219.0
SWE,Sweden,13.000000000000002
SWZ,Swaziland,382.73955486138226
SXM,Sint Maarten,475.00000000000006
SYC,Seychelles,628.2217090069283
SYR,Syria,608.5009332501705
TCA,Turks and Caicos Islands,475.00000000000006
TCD,Chad,611.0655021834061
TGO,Togo,623.7735686612141
THA,Thailand,582.5328428622325
TJK,Tajikistan,68.30174920037325
TKL,Tokelau,475.00000000000006
TKM,Turkmenistan,634.9137597356621
TLS,Timor-Leste,475.00000000000006
TON,Tonga,635.0
TTO,Trinidad and Tobago,634.6615466223851
TUN,Tunisia,615.11320224158
TUR,Turkey,380.3350204925996
TUV,Tuvalu,475.00000000000006
TWN,Taiwan,532.7631790719646
TZA,Tanzania,430.6968899276897
UGA,Uganda,68.73488136537438
UKR,Ukraine,259.6437411694415
UMI,United States Minor Outlying Islands,475.00000000000006
URY,Uruguay,38.9686372413834
USA,USA,396.87521578336566
UZB,Uzbekistan,575.102102003811
VAT,Holy See,475.00000000000006
VCT,Saint Vincent and the Grenadines,528.6853146853147
VEN,Venezuela,271.82807823729195
VGB,Virgin Islands (British),475.00000000000006
VIR,Virgin Islands (US),475.00000000000006
VNM,Vietnam,413.6843013181855
VUT,Vanuatu,548.9472723122576
WLF,Wallis and Futuna,475.00000000000006
WSM,Samoa,438.29125921468335
YEM,Yemen,556.3886793335555
ZAF,South Africa,567.7568203214754
ZMB,Zambia,115.85070509100373
ZWE,Zimbabwe,293.7065533052688
