timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-05-31T11:12:32,codecarbon,16ba0cd6-8258-4f79-9450-2d8de4167142,85.93498706817627,3.6984450764261097e-06,4.303771028081914e-08,2.6346666666666665,0.0045,3.0,7.218485235747805e-05,7.978321324655081e-05,5.350110530853272e-05,0.0002054691709125,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T11:36:41,codecarbon,eca607d4-58e9-411a-b37f-84145339a392,646.9468681812286,2.1818698934615737e-05,3.372564271924674e-08,0.3119,0.195,3.0,5.874466449954774e-05,0.0008139356324811,0.0003394696438312,0.0012121499408119,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T13:00:19,codecarbon,b9e7def2-4225-47cb-9f4f-3d786146ba65,255.31999897956848,1.0608837364443309e-05,4.155114133966552e-08,0.6053,0.036,3.0,8.496884702448255e-05,0.0003481727547684,0.0001252182594935,0.0005583598612864,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T13:37:30,codecarbon,b9e7def2-4225-47cb-9f4f-3d786146ba65,2486.815047979355,6.829626156251774e-05,2.7463345783600364e-08,1.8245,0.0853,3.0,0.0012132018835688,0.0004009832490356,0.0019803549496332,0.0035945400822377,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T15:00:55,codecarbon,67e9ec7b-2504-40d7-b863-e203fa3e07b9,79.61763501167297,2.6289627446016887e-06,3.301985476228035e-08,0.1001,0.0,3.0,1.4393556575724373e-05,8.044335522013239e-05,4.3529548446337386e-05,0.0001383664602421,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T15:04:04,codecarbon,67e9ec7b-2504-40d7-b863-e203fa3e07b9,268.3419282436371,6.197796010325473e-06,2.3096636634056963e-08,0.68,0.0099999999999999,3.0,4.900664042573726e-05,8.095989372820323e-05,0.0001962332558631,0.0003261997900171,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T15:11:15,codecarbon,dafca29b-63b4-4951-860a-8d7f5ecf1830,74.71537590026855,2.3931881158929866e-06,3.20307311186851e-08,0.4344,0.0,3.0,6.859579653249847e-06,8.010991972239151e-05,3.898776988188426e-05,0.0001259572692575,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T15:16:06,codecarbon,7710934e-0d73-47fa-8daf-2c7c739f46e2,70.0452573299408,2.5569288816646334e-06,3.650395443078308e-08,0.3132999999999999,0.0090999999999999,3.0,6.944913857387172e-06,7.979642118218871e-05,4.783386925856272e-05,0.0001345752042981,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T15:22:36,codecarbon,95317436-389e-4d6d-87aa-e5f8ad461ae7,261.1679332256317,9.458335783576843e-06,3.6215532537853614e-08,0.347,0.0035,3.0,3.530228176474571e-05,0.0003339269028176,0.0001285779619216,0.000497807146504,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,machine,N,1.0
2024-05-31T15:41:03,codecarbon,d22b8d8e-d6c4-4773-9727-c24d95c792d6,136.19924116134644,3.67544115475681e-06,2.698576822761261e-08,0.7301,0.0488,0.0082969665527343,3.703847249037027e-05,0.0001563177557795,8.804303310171238e-08,0.0001934442713029,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,process,N,1.0
2024-05-31T15:50:33,codecarbon,a1cd2341-2bb2-4862-81dc-5244eefcadce,65.47593092918396,1.24419773489152e-06,1.9002368003552213e-08,0.0347,0.0,0.0136470794677734,3.529521557357576e-06,6.181917521051565e-05,1.353945422067682e-07,6.548409131007999e-05,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,process,N,1.0
2024-05-31T15:57:37,codecarbon,0363e539-2e1b-40b7-bb49-9ff656b0f63e,63.80795407295227,1.2643359009126063e-06,1.981470679136772e-08,0.2443,0.0286,0.0139904022216796,4.431797966864374e-06,6.197543606068028e-05,1.367607573293602e-07,6.654399478487403e-05,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,process,N,1.0
2024-05-31T16:27:44,codecarbon,339509ec-e778-46cb-bf9a-209044d65ed0,258.19265937805176,7.1475555833878025e-06,2.76830317353143e-08,0.3779,0.0,0.0084857940673828,0.0001061165765363,0.0002908081031785,1.6174158434447845e-07,0.0003970864212993,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,process,N,1.0
2024-05-31T16:35:50,codecarbon,11d36ce9-3054-44f3-8149-d09c231cd638,143.92936086654663,3.5109783802222274e-06,2.4393760655115094e-08,0.4891999999999999,0.0222999999999999,0.0,1.909664796740479e-05,0.0001758242970287,1.334094605923989e-07,0.0001950543544567,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,process,N,1.0
2024-05-31T16:54:46,codecarbon,967739d3-9824-43de-8e27-9168161ede79,116.55522727966309,3.0500409587996293e-06,2.6168203949200395e-08,0.8930999999999999,0.0099999999999999,0.0,1.765836281485028e-05,0.0001516866583548,1.016987635773603e-07,0.0001694467199333,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,process,N,1.0
2024-05-31T17:03:13,codecarbon,934a85fd-2b20-4666-aa06-f8b9b002c0c1,140.0621292591095,3.122746048935024e-06,2.2295434643564964e-08,1.3187,0.37899999999999995,0.0043544769287109375,2.6958033068166835e-05,0.0001464302230578131,9.763548152136537e-08,0.00017348589160750131,France,FRA,île-de-france,,,macOS-12.6-arm64-arm-64bit,3.9.18,2.4.3rc1,8,Apple M1,1,Apple M1,2.792,48.399,8.0,process,N,1.0
