cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® 6952P Processor,Q3'24,96,3.9 GHz,2.1 GHz,480 MB,400.0
Intel® Xeon® 6960P Processor,Q3'24,72,3.9 GHz,2.7 GHz,432 MB,500.0
Intel® Xeon® 6972P Processor,Q3'24,96,3.9 GHz,2.4 GHz,480 MB,500.0
Intel® Xeon® 6979P Processor,Q3'24,120,3.9 GHz,2.1 GHz,504 MB,500.0
Intel® Xeon® 6980P Processor,Q3'24,128,3.9 GHz,2 GHz,504 MB,500.0
Intel® Core™ i5 processor 14401E,Q3'24,6,4.7 GHz,,24 MB Intel® Smart Cache,65.0
Intel® Core™ i5 processor 14401TE,Q3'24,6,4.5 GHz,,24 MB Intel® Smart Cache,45.0
Intel® Core™ i5 processor 14501E,Q3'24,6,5.2 GHz,,24 MB Intel® Smart Cache,65.0
Intel® Core™ i5 processor 14501TE,Q3'24,6,5.1 GHz,,24 MB Intel® Smart Cache,45.0
Intel® Core™ i7 processor 14701E,Q3'24,8,5.4 GHz,,33 MB Intel® Smart Cache,65.0
Intel® Core™ i7 processor 14701TE,Q3'24,8,5.2 GHz,,33 MB Intel® Smart Cache,45.0
Intel® Core™ i9 processor 14901E,Q3'24,8,5.6 GHz,,36 MB Intel® Smart Cache,65.0
Intel® Core™ i9 processor 14901KE,Q3'24,8,5.8 GHz,,36 MB Intel® Smart Cache,125.0
Intel® Core™ i9 processor 14901TE,Q3'24,8,5.5 GHz,,36 MB Intel® Smart Cache,45.0
Intel® Xeon® 6710E Processor,Q2'24,64,3.2 GHz,2.4 GHz,96 MB,205.0
Intel® Xeon® 6731E Processor,Q2'24,96,3.1 GHz,2.2 GHz,96 MB,250.0
Intel® Xeon® 6740E Processor,Q2'24,96,3.2 GHz,2.4 GHz,96 MB,250.0
Intel® Xeon® 6746E Processor,Q2'24,112,2.7 GHz,2 GHz,96 MB,250.0
Intel® Xeon® 6756E Processor,Q2'24,128,2.6 GHz,1.8 GHz,96 MB,225.0
Intel® Xeon® 6766E Processor,Q2'24,144,2.7 GHz,1.9 GHz,108 MB,250.0
Intel® Xeon® 6780E Processor,Q2'24,144,3 GHz,2.2 GHz,108 MB,330.0
Intel Atom® x7203C Processor,Q2'24,2,3.2 GHz,,6 MB,9.0
Intel Atom® x7211RE Processor,Q2'24,2,3.2 GHz,,6 MB,6.0
Intel Atom® x7213RE Processor,Q2'24,2,3.4 GHz,,6 MB,9.0
Intel Atom® x7405C Processor,Q2'24,4,3.4 GHz,,6 MB,12.0
Intel Atom® x7433RE Processor,Q2'24,4,3.4 GHz,,6 MB,9.0
Intel Atom® x7809C Processor,Q2'24,8,3.6 GHz,,6 MB,25.0
Intel Atom® x7835RE Processor,Q2'24,8,3.6 GHz,,6 MB,12.0
Intel® Xeon® Bronze 3508U Processor,Q4'23,8,2.2 GHz,2.10 GHz,22.5 MB,125.0
Intel® Xeon® Gold 5515+ Processor,Q4'23,8,4.1 GHz,3.2 GHz,22.5 MB,165.0
Intel® Xeon® Gold 6544Y Processor,Q4'23,16,4.1 GHz,3.6 GHz,45 MB,270.0
Intel® Xeon® Platinum 8568Y+ Processor,Q4'23,48,4 GHz,2.3 GHz,300 MB,350.0
Intel® Xeon® Platinum 8571N Processor,Q4'23,52,4 GHz,2.4 GHz,300 MB,300.0
Intel® Xeon® Silver 4509Y Processor,Q4'23,8,4.1 GHz,2.60 GHz,22.5 MB,125.0
Intel® Xeon® Silver 4510 Processor,Q4'23,12,4.1 GHz,2.40 GHz,30 MB,150.0
Intel® Xeon® Silver 4510T Processor,Q4'23,12,3.7 GHz,2.00 GHz,30 MB,115.0
Intel® Xeon® D-1813NT Processor,Q4'23,4,2.4 GHz,2.20 GHz,10240,42.0
Intel® Xeon® D-1823NT Processor,Q4'23,6,3.5 GHz,2.80 GHz,10240,55.0
Intel® Xeon® D-1834 Processor,Q4'23,8,2.9 GHz,1.80 GHz,15360,42.0
