cpu_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel Atom® Processor C5335C1,Q2'22,12,,2.4 GHz,13.5 MB,50.0
Intel Atom® Processor P5322,Q2'22,8,,2.20 GHz,9 MB,55.0
Intel Atom® Processor P5332,Q2'22,12,,2.20 GHz,13.5 MB,61.0
Intel Atom® Processor P5342,Q2'22,16,,2.20 GHz,18 MB,71.0
Intel Atom® Processor P5352,Q2'22,20,,2.20 GHz,22.5 MB,78.0
Intel Atom® Processor P5362,Q2'22,24,,2.20 GHz,27 MB,83.0
Intel Atom® Processor P5721,Q2'22,8,,2.20 GHz,9 MB,48.0
Intel Atom® Processor P5742,Q2'22,16,,2.20 GHz,18 MB,67.0
Intel Atom® Processor P5752,Q2'22,20,,2.20 GHz,22.5 MB,74.5
Intel® Xeon® D-1702 Processor,Q1'22,2,1.70 GHz,1.60 GHz,5 MB,25.0
Intel® Xeon® D-1712TR Processor,Q1'22,4,3.10 GHz,2.00 GHz,10 MB,40.0
Intel® Xeon® D-1713NT Processor,Q1'22,4,3.50 GHz,2.20 GHz,10 MB,45.0
Intel® Xeon® D-1713NTE Processor,Q1'22,4,3.30 GHz,2.20 GHz,10 MB,45.0
Intel® Xeon® D-1714 Processor,Q1'22,4,3.40 GHz,2.30 GHz,10 MB,38.0
Intel® Xeon® D-1715TER Processor,Q1'22,4,3.50 GHz,2.40 GHz,10 MB,50.0
Intel® Xeon® D-1718T Processor,Q1'22,4,3.50 GHz,2.60 GHz,10 MB,46.0
Intel® Xeon® D-1722NE Processor,Q1'22,6,2.70 GHz,1.70 GHz,10 MB,36.0
Intel® Xeon® D-1726 Processor,Q1'22,6,3.50 GHz,2.90 GHz,10 MB,70.0
Intel® Xeon® D-1732TE Processor,Q1'22,8,3.00 GHz,1.90 GHz,15 MB,52.0
Intel® Xeon® D-1734NT Processor,Q1'22,8,3.10 GHz,2.00 GHz,15 MB,50.0
Intel® Xeon® D-1735TR Processor,Q1'22,8,3.40 GHz,2.20 GHz,15 MB,59.0
Intel® Xeon® D-1736 Processor,Q1'22,8,3.40 GHz,2.30 GHz,15 MB,55.0
Intel® Xeon® D-1736NT Processor,Q1'22,8,3.50 GHz,2.70 GHz,15 MB,67.0
Intel® Xeon® D-1739 Processor,Q1'22,8,3.50 GHz,3.00 GHz,15 MB,83.0
Intel® Xeon® D-1747NTE Processor,Q1'22,10,3.50 GHz,2.50 GHz,15 MB,80.0
Intel® Xeon® D-1748TE Processor,Q1'22,10,3.40 GHz,2.30 GHz,15 MB,65.0
Intel® Xeon® D-1749NT Processor,Q1'22,10,3.50 GHz,3.00 GHz,15 MB,90.0
Intel® Xeon® D-2712T Processor,Q1'22,4,3.00 GHz,1.90 GHz,15 MB,65.0
Intel® Xeon® D-2733NT Processor,Q1'22,8,3.20 GHz,2.10 GHz,15 MB,80.0
Intel® Xeon® D-2738 Processor,Q1'22,8,3.50 GHz,2.50 GHz,15 MB,88.0
Intel® Xeon® D-2739NT Processor,Q1'22,8,3.5 GHz,2.50 GHz,15 MB,97.0
Intel® Xeon® D-2752NTE Processor,Q1'22,12,3.00 GHz,1.90 GHz,20 MB,84.0
Intel® Xeon® D-2752TER Processor,Q1'22,12,2.80 GHz,1.80 GHz,20 MB,77.0
Intel® Xeon® D-2753NT Processor,Q1'22,12,3.10 GHz,2.00 GHz,20 MB,87.0
Intel® Xeon® D-2766NT Processor,Q1'22,14,3.10 GHz,2.00 GHz,20 MB,97.0
Intel® Xeon® D-2775TE Processor,Q1'22,16,3.10 GHz,2.00 GHz,25 MB,100.0
Intel® Xeon® D-2776NT Processor,Q1'22,16,3.20 GHz,2.10 GHz,25 MB,117.0
Intel® Xeon® D-2779 Processor,Q1'22,16,3.40 GHz,2.50 GHz,25 MB,126.0
Intel® Xeon® D-2786NTE Processor,Q1'22,18,3.10 GHz,2.10 GHz,27.5 MB,118.0
Intel® Xeon® D-2795NT Processor,Q1'22,20,3.10 GHz,2.00 GHz,30 MB,110.0
Intel® Xeon® D-2796NT Processor,Q1'22,20,3.10 GHz,2.00 GHz,30 MB,120.0
Intel® Xeon® D-2796TE Processor,Q1'22,20,3.10 GHz,2.00 GHz,30 MB,118.0
Intel® Xeon® D-2798NT Processor,Q1'22,20,3.10 GHz,2.10 GHz,30 MB,125.0
Intel® Xeon® D-2799 Processor,Q1'22,20,3.40 GHz,2.40 GHz,30 MB,129.0
Intel® Xeon® D-1733NT Processor,Q1'22,8,3.10 GHz,2.00 GHz,15 MB,53.0
Intel® Xeon® D-1746TER Processor,Q1'22,10,3.10 GHz,2.00 GHz,15 MB,67.0
Intel® Xeon® D-1731NTE Processor,Q1'22,8,2.8 GHz,1.70 GHz,15 MB,45.0
Intel® Xeon® E-2314 Processor,Q3'21,4,4.50 GHz,2.80 GHz,8 MB Intel® Smart Cache,65.0
Intel® Xeon® E-2324G Processor,Q3'21,4,4.60 GHz,3.10 GHz,8 MB Intel® Smart Cache,65.0
Intel® Xeon® E-2334 Processor,Q3'21,4,4.80 GHz,3.40 GHz,8 MB Intel® Smart Cache,65.0
Intel® Xeon® E-2336 Processor,Q3'21,6,4.80 GHz,2.90 GHz,12 MB Intel® Smart Cache,65.0
Intel® Xeon® E-2356G Processor,Q3'21,6,5.00 GHz,3.20 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2374G Processor,Q3'21,4,5.00 GHz,3.70 GHz,8 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2378 Processor,Q3'21,8,4.80 GHz,2.60 GHz,16 MB Intel® Smart Cache,65.0
Intel® Xeon® E-2378G Processor,Q3'21,8,5.10 GHz,2.80 GHz,16 MB Intel® Smart Cache,80.0
Intel® Xeon® E-2386G Processor,Q3'21,6,5.10 GHz,3.50 GHz,12 MB Intel® Smart Cache,95.0
Intel® Xeon® E-2388G Processor,Q3'21,8,5.10 GHz,3.20 GHz,16 MB Intel® Smart Cache,95.0
Intel® Celeron® 6600HE Processor,Q3'21,2,,2.60 GHz,8 MB Intel® Smart Cache,35.0
Intel® Xeon® W-11155MLE Processor,Q3'21,4,3.10 GHz,1.80 GHz,8 MB Intel® Smart Cache,25.0
Intel® Xeon® W-11555MLE Processor,Q3'21,6,4.40 GHz,1.90 GHz,12 MB Intel® Smart Cache,25.0
Intel® Xeon® W-11865MLE Processor,Q3'21,8,4.50 GHz,1.50 GHz,24 MB Intel® Smart Cache,25.0
Intel® Xeon® W-3323 Processor,Q3'21,12,3.90 GHz,3.50 GHz,21 MB,220.0
Intel® Xeon® W-3335 Processor,Q3'21,16,4.00 GHz,3.40 GHz,24 MB,250.0
Intel® Xeon® W-3345 Processor,Q3'21,24,4.00 GHz,3.00 GHz,36 MB,250.0
Intel® Xeon® W-3365 Processor,Q3'21,32,4.00 GHz,2.70 GHz,48 MB,270.0
Intel® Xeon® W-3375 Processor,Q3'21,38,4.00 GHz,2.50 GHz,57 MB,270.0
Intel® Xeon® W-1350 Processor,Q2'21,6,5.00 GHz,3.30 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1350P Processor,Q2'21,6,5.10 GHz,4.00 GHz,12 MB Intel® Smart Cache,125.0
Intel® Xeon® W-1370 Processor,Q2'21,8,5.10 GHz,2.90 GHz,16 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1370P Processor,Q2'21,8,5.20 GHz,3.60 GHz,16 MB Intel® Smart Cache,125.0
Intel® Xeon® W-1390 Processor,Q2'21,8,5.20 GHz,2.80 GHz,16 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1390P Processor,Q2'21,8,5.30 GHz,3.50 GHz,16 MB Intel® Smart Cache,125.0
Intel® Xeon® W-1390T Processor,Q2'21,8,4.90 GHz,1.50 GHz,16 MB Intel® Smart Cache,35.0
Intel® Xeon® Gold 5318N Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,150.0
Intel® Xeon® Gold 5318S Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165.0
Intel® Xeon® Gold 5320 Processor,Q2'21,26,3.40 GHz,2.20 GHz,39 MB,185.0
Intel® Xeon® Gold 5320T Processor,Q2'21,20,3.50 GHz,2.30 GHz,30 MB,150.0
Intel® Xeon® Gold 6312U Processor,Q2'21,24,3.60 GHz,2.40 GHz,36 MB,185.0
Intel® Xeon® Gold 6326 Processor,Q2'21,16,3.50 GHz,2.90 GHz,24 MB,185.0
Intel® Xeon® Gold 6330N Processor,Q2'21,28,3.40 GHz,2.20 GHz,42 MB,165.0
Intel® Xeon® Gold 6336Y Processor,Q2'21,24,3.60 GHz,2.40 GHz,36 MB,185.0
Intel® Xeon® Gold 6338 Processor,Q2'21,32,3.20 GHz,2.00 GHz,48 MB,205.0
Intel® Xeon® Gold 6338T Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165.0
Intel® Xeon® Gold 6342 Processor,Q2'21,24,3.50 GHz,2.80 GHz,36 MB,230.0
Intel® Xeon® Platinum 8351N Processor,Q2'21,36,3.50 GHz,2.40 GHz,54 MB,225.0
Intel® Xeon® Platinum 8352S Processor,Q2'21,32,3.40 GHz,2.20 GHz,48 MB,205.0
Intel® Xeon® Platinum 8352Y Processor,Q2'21,32,3.40 GHz,2.20 GHz,48 MB,205.0
Intel® Xeon® Platinum 8358 Processor,Q2'21,32,3.40 GHz,2.60 GHz,48 MB,250.0
Intel® Xeon® Platinum 8358P Processor,Q2'21,32,3.40 GHz,2.60 GHz,48 MB,240.0
Intel® Xeon® Platinum 8368Q Processor,Q2'21,38,3.70 GHz,2.60 GHz,57 MB,270.0
Intel® Xeon® Platinum 8380 Processor,Q2'21,40,3.40 GHz,2.30 GHz,60 MB,270.0
Intel® Xeon® Silver 4309Y Processor,Q2'21,8,3.60 GHz,2.80 GHz,12 MB,105.0
Intel® Xeon® Silver 4310 Processor,Q2'21,12,3.30 GHz,2.10 GHz,18 MB,120.0
Intel® Xeon® Silver 4310T Processor,Q2'21,10,3.40 GHz,2.30 GHz,15 MB,105.0
Intel® Xeon® Gold 5315Y Processor,Q2'21,8,3.60 GHz,3.20 GHz,12 MB,140.0
Intel® Xeon® Gold 5317 Processor,Q2'21,12,3.60 GHz,3.00 GHz,18 MB,150.0
Intel® Xeon® Gold 5318Y Processor,Q2'21,24,3.40 GHz,2.10 GHz,36 MB,165.0
Intel® Xeon® Gold 6314U Processor,Q2'21,32,3.40 GHz,2.30 GHz,48 MB,205.0
Intel® Xeon® Gold 6330 Processor,Q2'21,28,3.10 GHz,2.00 GHz,42 MB,205.0
Intel® Xeon® Gold 6334 Processor,Q2'21,8,3.70 GHz,3.60 GHz,18 MB,165.0
Intel® Xeon® Gold 6338N Processor,Q2'21,32,3.50 GHz,2.20 GHz,48 MB,185.0
Intel® Xeon® Gold 6346 Processor,Q2'21,16,3.60 GHz,3.10 GHz,36 MB,205.0
Intel® Xeon® Gold 6348 Processor,Q2'21,28,3.50 GHz,2.60 GHz,42 MB,235.0
Intel® Xeon® Gold 6354 Processor,Q2'21,18,3.60 GHz,3.00 GHz,39 MB,205.0
Intel® Xeon® Platinum 8352M Processor,Q2'21,32,3.50 GHz,2.30 GHz,48 MB,185.0
Intel® Xeon® Platinum 8352V Processor,Q2'21,36,3.50 GHz,2.10 GHz,54 MB,195.0
Intel® Xeon® Platinum 8360Y Processor,Q2'21,36,3.50 GHz,2.40 GHz,54 MB,250.0
Intel® Xeon® Platinum 8362 Processor,Q2'21,32,3.60 GHz,2.80 GHz,48 MB,265.0
Intel® Xeon® Platinum 8368 Processor,Q2'21,38,3.40 GHz,2.40 GHz,57 MB,270.0
Intel® Xeon® Silver 4314 Processor,Q2'21,16,3.40 GHz,2.40 GHz,24 MB,135.0
Intel® Xeon® Silver 4316 Processor,Q2'21,20,3.40 GHz,2.30 GHz,30 MB,150.0
Intel® Core™ i3-10105 Processor,Q1'21,4,4.40 GHz,3.70 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i3-10105F Processor,Q1'21,4,4.40 GHz,3.70 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i3-10105T Processor,Q1'21,4,3.90 GHz,3.00 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i3-10305 Processor,Q1'21,4,4.50 GHz,3.80 GHz,8 MB Intel® Smart Cache,65.0
Intel® Core™ i3-10305T Processor,Q1'21,4,4.00 GHz,3.00 GHz,8 MB Intel® Smart Cache,35.0
Intel® Core™ i3-10325 Processor,Q1'21,4,4.70 GHz,3.90 GHz,8 MB Intel® Smart Cache,65.0
Intel® Core™ i5-10505 Processor,Q1'21,6,4.60 GHz,3.20 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-11400 Processor,Q1'21,6,4.40 GHz,2.60 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-11400F Processor,Q1'21,6,4.40 GHz,2.60 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-11400T Processor,Q1'21,6,3.70 GHz,1.30 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i5-11500 Processor,Q1'21,6,4.60 GHz,2.70 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-11500T Processor,Q1'21,6,3.90 GHz,1.50 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i5-11600 Processor,Q1'21,6,4.80 GHz,2.80 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-11600K Processor,Q1'21,6,4.90 GHz,3.90 GHz,12 MB Intel® Smart Cache,125.0
Intel® Core™ i5-11600KF Processor,Q1'21,6,4.90 GHz,3.90 GHz,12 MB Intel® Smart Cache,125.0
Intel® Core™ i5-11600T Processor,Q1'21,6,4.10 GHz,1.70 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i7-11700 Processor,Q1'21,8,4.90 GHz,2.50 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i7-11700F Processor,Q1'21,8,4.90 GHz,2.50 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i7-11700K Processor,Q1'21,8,5.00 GHz,3.60 GHz,16 MB Intel® Smart Cache,125.0
Intel® Core™ i7-11700KF Processor,Q1'21,8,5.00 GHz,3.60 GHz,16 MB Intel® Smart Cache,125.0
Intel® Core™ i7-11700T Processor,Q1'21,8,4.60 GHz,1.40 GHz,16 MB Intel® Smart Cache,35.0
Intel® Core™ i9-11900 Processor,Q1'21,8,5.20 GHz,2.50 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i9-11900F Processor,Q1'21,8,5.20 GHz,2.50 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i9-11900K Processor,Q1'21,8,5.30 GHz,3.50 GHz,16 MB Intel® Smart Cache,125.0
Intel® Core™ i9-11900KF Processor,Q1'21,8,5.30 GHz,3.50 GHz,16 MB Intel® Smart Cache,125.0
Intel® Core™ i9-11900T Processor,Q1'21,8,4.90 GHz,1.50 GHz,16 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G6405 Processor,Q1'21,2,,4.10 GHz,4 MB Intel® Smart Cache,58.0
Intel® Pentium® Gold G6405T Processor,Q1'21,2,,3.50 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G6505 Processor,Q1'21,2,,4.20 GHz,4 MB Intel® Smart Cache,58.0
Intel® Pentium® Gold G6505T Processor,Q1'21,2,,3.60 GHz,4 MB Intel® Smart Cache,35.0
Intel® Pentium® Gold G6605 Processor,Q1'21,2,,4.30 GHz,4 MB Intel® Smart Cache,58.0
Intel® Celeron® Processor J6412,Q1'21,4,,2.00 GHz,1.5 MB L2 Cache,10.0
Intel® Celeron® Processor N6210,Q1'21,2,,1.20 GHz,1.5 MB L2 Cache,6.5
Intel® Core™ i3-10100Y Processor,Q1'21,2,3.90 GHz,1.30 GHz,4 MB Intel® Smart Cache,5.0
Intel® Pentium® Gold 6500Y Processor,Q1'21,2,3.40 GHz,1.10 GHz,4 MB Intel® Smart Cache,5.0
Intel® Celeron® Processor N4500,Q1'21,2,,1.10 GHz,4 MB Intel® Smart Cache,6.0
Intel® Celeron® Processor N4505,Q1'21,2,,2.00 GHz,4 MB Intel® Smart Cache,10.0
Intel® Celeron® Processor N5100,Q1'21,4,,1.10 GHz,4 MB Intel® Smart Cache,6.0
Intel® Celeron® Processor N5105,Q1'21,4,,2.00 GHz,4 MB Intel® Smart Cache,10.0
Intel® Pentium® Silver N6000 Processor,Q1'21,4,,1.10 GHz,4 MB Intel® Smart Cache,6.0
Intel® Pentium® Silver N6005 Processor,Q1'21,4,,2.00 GHz,4 MB Intel® Smart Cache,10.0
Intel® Core™ i5-10500H Processor,Q4'20,6,4.50 GHz,2.50 GHz,12 MB Intel® Smart Cache,45.0
Intel® Celeron® 6305E Processor,Q4'20,2,,1.80 GHz,4 MB Intel® Smart Cache,15.0
Intel® Pentium® Processor 6805,Q4'20,2,3.00 GHz,1.10 GHz,4 MB,15.0
Intel® Core™ i3-10100F Processor,Q4'20,4,4.30 GHz,3.60 GHz,6 MB Intel® Smart Cache,65.0
Intel Atom® x6200FE Processor,Q1'21,2,,1.00 GHz,1.5 MB,4.5
Intel Atom® x6211E Processor,Q1'21,2,,1.30 GHz,1.5 MB L2 Cache,6.0
Intel Atom® x6212RE Processor,Q1'21,2,,1.20 GHz,1.5 MB L2 Cache,6.0
Intel Atom® x6413E Processor,Q1'21,4,,1.50 GHz,1.5 MB L2 Cache,9.0
Intel Atom® x6414RE Processor,Q1'21,4,,1.50 GHz,1.5 MB L2 Cache,9.0
Intel Atom® x6425E Processor,Q1'21,4,,2.00 GHz,1.5 MB L2 Cache,12.0
Intel Atom® x6425RE Processor,Q1'21,4,,1.90 GHz,1.5 MB L2 Cache,12.0
Intel Atom® x6427FE Processor,Q1'21,4,,1.90 GHz,1.5 MB L2 Cache,12.0
Intel® Celeron® Processor J6413,Q1'21,4,,1.80 GHz,1.5 MB L2 Cache,10.0
Intel® Celeron® Processor N6211,Q1'21,2,,1.20 GHz,1.5 MB L2 Cache,6.5
Intel® Core™ i3-1115G4E Processor,Q3'20,2,3.90 GHz,2.20 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i3-1115GRE Processor,Q3'20,2,3.90 GHz,2.20 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1145G7E Processor,Q3'20,4,4.10 GHz,1.50 GHz,8 MB Intel® Smart Cache,15.0
Intel® Core™ i5-1145GRE Processor,Q3'20,4,4.10 GHz,1.50 GHz,8 MB Intel® Smart Cache,15.0
Intel® Core™ i7-1185G7E Processor,Q3'20,4,4.40 GHz,1.80 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i7-1185GRE Processor,Q3'20,4,4.40 GHz,1.80 GHz,12 MB Intel® Smart Cache,15.0
Intel® Pentium® Processor J6426,Q1'21,4,,2.00 GHz,1.5 MB L2 Cache,10.0
Intel® Pentium® Processor N6415,Q1'21,4,,1.20 GHz,1.5 MB L2 Cache,6.5
Intel® Core™ i7-10870H Processor,Q3'20,8,5.00 GHz,2.20 GHz,16 MB Intel® Smart Cache,45.0
Intel® Xeon® Gold 6330H Processor,Q3'20,24,3.70 GHz,2.00 GHz,33 MB,150.0
Intel® Xeon® Platinum 8356H Processor,Q3'20,8,4.40 GHz,3.90 GHz,35.75 MB,190.0
Intel® Xeon® Platinum 8360H Processor,Q3'20,24,4.20 GHz,3.00 GHz,33 MB,225.0
Intel® Xeon® Platinum 8360HL Processor,Q3'20,24,4.20 GHz,3.00 GHz,33 MB,225.0
Intel® Core™ i5-10200H Processor,Q3'20,4,4.10 GHz,2.40 GHz,8 MB Intel® Smart Cache,45.0
Intel® Celeron® Processor G5905,Q3'20,2,,3.50 GHz,4 MB Intel® Smart Cache,58.0
Intel® Celeron® Processor G5905T,Q3'20,2,,3.30 GHz,4 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G5925,Q3'20,2,,3.60 GHz,4 MB Intel® Smart Cache,58.0
Intel® Core™ i9-10850K Processor,Q3'20,10,5.20 GHz,3.60 GHz,20 MB Intel® Smart Cache,125.0
Intel® Xeon® Gold 5318H Processor,Q2'20,18,3.80 GHz,2.50 GHz,24.75 MB,150.0
Intel® Xeon® Gold 5320H Processor,Q2'20,20,4.20 GHz,2.40 GHz,27.5 MB,150.0
Intel® Xeon® Gold 6328H Processor,Q2'20,16,4.30 GHz,2.80 GHz,22 MB,165.0
Intel® Xeon® Gold 6328HL Processor,Q2'20,16,4.30 GHz,2.80 GHz,22 MB,165.0
Intel® Xeon® Gold 6348H Processor,Q2'20,24,4.20 GHz,2.30 GHz,33 MB,165.0
Intel® Xeon® Platinum 8353H Processor,Q2'20,18,3.80 GHz,2.50 GHz,24.75 MB,150.0
Intel® Xeon® Platinum 8354H Processor,Q2'20,18,4.30 GHz,3.10 GHz,24.75 MB,205.0
Intel® Xeon® Platinum 8376HL Processor,Q2'20,28,4.30 GHz,2.60 GHz,38.5 MB,205.0
Intel® Xeon® Platinum 8380H Processor,Q2'20,28,4.30 GHz,2.90 GHz,38.5 MB,250.0
Intel® Xeon® Platinum 8380HL Processor,Q2'20,28,4.30 GHz,2.90 GHz,38.5 MB,250.0
Intel® Xeon® Platinum 8376H Processor,Q2'20,28,4.30 GHz,2.60 GHz,38.5 MB,205.0
Intel Atom® Processor C3338R,Q2'20,2,2.20 GHz,1.80 GHz,4 MB,10.5
Intel Atom® Processor C3436L,Q2'20,4,,1.30 GHz,8 MB,10.75
Intel Atom® Processor C3558R,Q2'20,4,,2.40 GHz,8 MB,17.0
Intel Atom® Processor C3758R,Q2'20,8,,2.40 GHz,16 MB,26.0
Intel® Celeron® Processor 5305U,Q2'20,2,,2.30 GHz,2 MB,15.0
Intel® Core™ i5-10310U Processor,Q2'20,4,4.40 GHz,1.70 GHz,6 MB Intel® Smart Cache,15.0
Intel® Core™ i7-10610U Processor,Q2'20,4,4.90 GHz,1.80 GHz,8 MB Intel® Smart Cache,15.0
Intel® Core™ i7-10810U Processor,Q2'20,6,4.90 GHz,1.10 GHz,12 MB Intel® Smart Cache,15.0
Intel® Core™ i9-10885H Processor,Q2'20,8,5.30 GHz,2.40 GHz,16 MB Intel® Smart Cache,45.0
Intel® Xeon® W-10855M Processor,Q2'20,6,5.10 GHz,2.80 GHz,12 MB Intel® Smart Cache,45.0
Intel® Xeon® W-10885M Processor,Q2'20,8,5.30 GHz,2.40 GHz,16 MB Intel® Smart Cache,45.0
Intel® Xeon® W-1250 Processor,Q2'20,6,4.70 GHz,3.30 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1250E Processor,Q2'20,6,4.70 GHz,3.50 GHz,12 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1250P Processor,Q2'20,6,4.80 GHz,4.10 GHz,12 MB Intel® Smart Cache,125.0
Intel® Xeon® W-1250TE Processor,Q2'20,6,3.80 GHz,2.40 GHz,12 MB Intel® Smart Cache,35.0
Intel® Xeon® W-1270 Processor,Q2'20,8,5.00 GHz,3.40 GHz,16 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1270E Processor,Q2'20,8,4.80 GHz,3.40 GHz,16 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1270P Processor,Q2'20,8,5.10 GHz,3.80 GHz,16 MB Intel® Smart Cache,125.0
Intel® Xeon® W-1270TE Processor,Q2'20,8,4.40 GHz,2.00 GHz,16 MB Intel® Smart Cache,35.0
Intel® Xeon® W-1290 Processor,Q2'20,10,5.20 GHz,3.20 GHz,20 MB Intel® Smart Cache,80.0
Intel® Xeon® W-1290E Processor,Q2'20,10,4.80 GHz,3.50 GHz,20 MB Intel® Smart Cache,95.0
Intel® Xeon® W-1290P Processor,Q2'20,10,5.30 GHz,3.70 GHz,20 MB Intel® Smart Cache,125.0
Intel® Xeon® W-1290T Processor,Q2'20,10,4.70 GHz,1.90 GHz,20 MB Intel® Smart Cache,35.0
Intel® Xeon® W-1290TE Processor,Q2'20,10,4.50 GHz,1.80 GHz,20 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G5900,Q2'20,2,,3.40 GHz,2 MB Intel® Smart Cache,58.0
Intel® Celeron® Processor G5900T,Q2'20,2,,3.20 GHz,2 MB Intel® Smart Cache,35.0
Intel® Core™ i3-10100 Processor,Q2'20,4,4.30 GHz,3.60 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i3-10100T Processor,Q2'20,4,3.80 GHz,3.00 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i3-10300 Processor,Q2'20,4,4.40 GHz,3.70 GHz,8 MB Intel® Smart Cache,65.0
Intel® Core™ i3-10300T Processor,Q2'20,4,3.90 GHz,3.00 GHz,8 MB Intel® Smart Cache,35.0
Intel® Core™ i3-10320 Processor,Q2'20,4,4.60 GHz,3.80 GHz,8 MB Intel® Smart Cache,65.0
Intel® Core™ i5-10400 Processor,Q2'20,6,4.30 GHz,2.90 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-10400F Processor,Q2'20,6,4.30 GHz,2.90 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-10400T Processor,Q2'20,6,3.60 GHz,2.00 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i5-10500 Processor,Q2'20,6,4.50 GHz,3.10 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-10500T Processor,Q2'20,6,3.80 GHz,2.30 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i5-10600 Processor,Q2'20,6,4.80 GHz,3.30 GHz,12 MB Intel® Smart Cache,65.0
Intel® Core™ i5-10600KF Processor,Q2'20,6,4.80 GHz,4.10 GHz,12 MB Intel® Smart Cache,125.0
Intel® Core™ i5-10600T Processor,Q2'20,6,4.00 GHz,2.40 GHz,12 MB Intel® Smart Cache,35.0
Intel® Core™ i7-10700 Processor,Q2'20,8,4.80 GHz,2.90 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i7-10700E Processor,Q2'20,8,4.50 GHz,2.90 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i7-10700F Processor,Q2'20,8,4.80 GHz,2.90 GHz,16 MB Intel® Smart Cache,65.0
Intel® Core™ i7-10700K Processor,Q2'20,8,5.10 GHz,3.80 GHz,16 MB Intel® Smart Cache,125.0
Intel® Core™ i7-10700KF Processor,Q2'20,8,5.10 GHz,3.80 GHz,16 MB Intel® Smart Cache,125.0
Intel® Core™ i9-10900 Processor,Q2'20,10,5.20 GHz,2.80 GHz,20 MB Intel® Smart Cache,65.0
Intel® Core™ i9-10900F Processor,Q2'20,10,5.20 GHz,2.80 GHz,20 MB Intel® Smart Cache,65.0
Intel® Core™ i9-10900K Processor,Q2'20,10,5.30 GHz,3.70 GHz,20 MB Intel® Smart Cache,125.0
Intel® Core™ i9-10900KF Processor,Q2'20,10,5.30 GHz,3.70 GHz,20 MB Intel® Smart Cache,125.0
Intel® Core™ i9-10900T Processor,Q2'20,10,4.60 GHz,1.90 GHz,20 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G5900E,Q2'20,2,,3.20 GHz,2 MB Intel® Smart Cache,58.0
Intel® Celeron® Processor G5900TE,Q2'20,2,,3.00 GHz,2 MB Intel® Smart Cache,35.0
Intel® Celeron® Processor G5920,Q2'20,2,,3.50 GHz,2 MB Intel® Smart Cache,58.0
Intel® Core™ i3-10100E Processor,Q2'20,4,3.80 GHz,3.20 GHz,6 MB Intel® Smart Cache,65.0
Intel® Core™ i3-10100TE Processor,Q2'20,4,3.60 GHz,2.30 GHz,6 MB Intel® Smart Cache,35.0
Intel® Core™ i5-10500E Processor,Q2'20,6,4.20 GHz,3.10 GHz,12 MB Intel® Smart Cache,65.0
